name,country,greater-region,coordinates,telegram-link
Texas Gulf,US,Texas,"[{""point1"": ""24.926295298475015, -98.30732081288076"", ""point2"": ""30.372875694323955, -92.85837587142379""}]",https://t.me/+CX13YGoCqxQ3NDMx
Southern San Diego,US,CA,"[{""point1"": ""32.54588706367171, -117.08878025496408"", ""point2"": ""32.79183471108986, -117.31341935627523""}]",
Northern San Diego,US,CA,"[{""point1"": ""32.791257493739316, -117.22134486796952"", ""point2"": ""32.899421856524, -117.31541057575424""}]",
San Clemente,US,CA,"[{""point1"": ""33.31446314195091, -117.47797136228988"", ""point2"": ""33.440609485232464, -117.72789776837485""}]",
Dana Point,US,CA,"[{""point1"": ""33.4480578171802, -117.68331277046006"", ""point2"": ""33.514778156395266, -117.78149814427917""}]",
Newport Beach,US,CA,"[{""point1"": ""33.58562290773518, -117.86823110021908"", ""point2"": ""33.6393757436595, -117.97534241711264""}]",
Laguna Beach,US,CA,"[{""point1"": ""33.52113252206044, -117.75565365133069"", ""point2"": ""33.572065042619506, -117.85998785893793""}]",
Encinitas Region,US,CA,"[{""point1"": ""33.01187358842105, -117.27827317686256"", ""point2"": ""33.08650777711274, -117.32634541215829""}]",
Oceanside Carlsbad Region,US,CA,"[{""point1"": ""33.08918290126594, -117.30931674612548"", ""point2"": ""33.228033482754284, -117.42233500399674""}]",
Del Mar and Solana Region,US,CA,"[{""point1"": ""32.92227810077406, -117.2502316101722"", ""point2"": ""33.00929686740774, -117.2897804082929""}]",
Huntington and Long Beach,US,CA,"[{""point1"": ""33.642977115057214, -117.98784104696118"", ""point2"": ""33.758998149138364, -118.16663455913884""}]",
Redondo Region,US,CA,"[{""point1"": ""33.75608671759965, -118.45276822076133"", ""point2"": ""33.86933232359293, -118.3806740651599""}]",
Manhattan and El Segundo,US,CA,"[{""point1"": ""33.87568900996514, -118.4069578290609"", ""point2"": ""33.96050420338676, -118.4617150567677""}]",
Venice Region,US,CA,"[{""point1"": ""33.97069800985228, -118.46308884828969"", ""point2"": ""34.01342458415825, -118.51369208779332""}]",
San Pedro Region,US,CA,"[{""point1"": ""33.69498034556023, -118.25948736065726"", ""point2"": ""33.7512340720483, -118.42015433599758""}]",
Malibu Region,US,CA,"[{""point1"": ""34.02016890695229, -118.83603936426604"", ""point2"": ""34.12414021124977, -119.13253472521376""}]",
Oxnard,US,CA,"[{""point1"": ""34.11271418642227, -119.1505261050998"", ""point2"": ""34.213278531085834, -119.27082035120796""}]",
East Malibu Region,US,CA,"[{""point1"": ""33.98834912987373, -118.83304279360487"", ""point2"": ""34.062330154520346, -118.50880979315187""}]",
Ventura Region,US,CA,"[{""point1"": ""34.32954480922006, -119.4058363184499"", ""point2"": ""34.248986920577984, -119.27641014387018""}]",
Rincon Region,US,CA,"[{""point1"": ""34.332493365790235, -119.40432581824007"", ""point2"": ""34.426565390482985, -119.58992103619116""}]",
Santa Barbara,US,CA,"[{""point1"": ""34.38764600734706, -119.59637805023526"", ""point2"": ""34.43064324221109, -119.81465169524228""}]",
Goleta Region,US,CA,"[{""point1"": ""34.39608857535114, -119.81801609545647"", ""point2"": ""34.52760324447252, -120.1893655216136""}]",
Vandenburg,US,CA,"[{""point1"": ""34.39127228876738, -120.38435235159413"", ""point2"": ""35.01042727014349, -120.70747156219122""}]",
Pismo Beach Region,US,CA,"[{""point1"": ""35.07423427481082, -120.61553401045009"", ""point2"": ""35.18795107180846, -120.78726076451964""}]",
Morro Bay Region,US,CA,"[{""point1"": ""35.259188666136815, -120.84227608096757"", ""point2"": ""35.471407443308024, -120.94526773182675""}]",
State Park,US,CA,"[{""point1"": ""35.520490886459555, -121.04661543708067"", ""point2"": ""36.490206986221935, -122.02167665138654""}]",
Monterey,US,CA,"[{""point1"": ""36.508753127951984, -122.01895332123571"", ""point2"": ""36.86555860986715, -121.73057669882998""}]",
Santa Cruz,US,CA,"[{""point1"": ""36.919430607698104, -121.84451314502526"", ""point2"": ""36.99306545610833, -122.13755873484214""}]",
Davenport Region,US,CA,"[{""point1"": ""36.975513687523694, -122.14579868794844"", ""point2"": ""37.158456006782856, -122.36777777413661""}]",
Half Moon Bay,US,CA,"[{""point1"": ""37.33675300166603, -122.37170464757156"", ""point2"": ""37.52541101424868, -122.53814265683351""}]",
Pacifica,US,CA,"[{""point1"": ""37.536737126027624, -122.54129718646344"", ""point2"": ""37.65968902749375, -122.47332269689636""}]",
Ocean Beach / SF,US,CA,"[{""point1"": ""37.71793847764276, -122.40952833519532"", ""point2"": ""37.863145101052794, -122.60803728914502""}]",
North of SF,US,CA,"[{""point1"": ""37.88070679347662, -122.6357763695857"", ""point2"": ""38.586175945813686, -123.3696915307518""}]",
Fort Bragg Region,US,CA,"[{""point1"": ""38.87200405823424, -123.63697517905389"", ""point2"": ""39.524170381105904, -123.9121767553402""}]",
Shelter Cove,US,CA,"[{""point1"": ""39.6035719733622, -123.71005296165254"", ""point2"": ""40.10958800662886, -124.17639920703186""}]",
Eureka Region,US,CA,"[{""point1"": ""40.284554306965845, -124.5461662006981"", ""point2"": ""41.11722803227606, -124.04345250975838""}]",
Gold Bluffs Region,US,CA,"[{""point1"": ""41.11722801648944, -124.21922478921641"", ""point2"": ""41.670449816682954, -124.01681183120186""}]",
Cresent City Region,US,CA,"[{""point1"": ""41.68347651382075, -124.11823700962437"", ""point2"": ""41.98879191909617, -124.41773877432738""}]",
South Oregon,US,CA,"[{""point1"": ""41.99195614497282, -124.19226491533995"", ""point2"": ""43.20117227700009, -124.64250747562939""}]",
North Bend Region,US,CA,"[{""point1"": ""43.254405200862706, -124.5375786650928"", ""point2"": ""44.438486508573774, -123.86048983405641""}]",
Newport and Lincoln City,US,CA,"[{""point1"": ""44.499639721009714, -124.19246478890312"", ""point2"": ""45.39844985123635, -123.84915928603914""}]",
Seaside,US,OR,"[{""point1"": ""45.68565246150534, -123.86824379458646"", ""point2"": ""46.06713298057747, -124.11405053463707""}]",
Westport Region,US,OR,"[{""point1"": ""46.1524385094381, -123.86402561895764"", ""point2"": ""47.56911374452897, -124.53824483731607""}]",
Olympic Coast,US,OR,"[{""point1"": ""47.82126957575633, -122.46412977479824"", ""point2"": ""48.68443293102328, -124.9688867236938""}]",
