name,country,greater-region,coordinates,spotIDs,telegram-link
North Myrtle Beach,US,North Carolina,"[{""point1"": ""33.774581494353775, -78.67611134469772"", ""point2"": ""33.96842029232533, -78.21745519287143""}]","[{""name"": ""Holden Beach"", ""ID"": 1037}, {""name"": ""Cherry Grove Pier"", ""ID"": 1217}, {""name"": ""Sunset Beach"", ""ID"": 4272}, {""name"": ""Bird Island"", ""ID"": 6722}, {""name"": ""Ocean Isle"", ""ID"": 7366}]",https://t.me/+xw2xI3B0pc4zZTEx
Myrtle Beach Region,US,North Carolina,"[{""point1"": ""33.83300743880445, -78.71291188373336"", ""point2"": ""33.26073818900188, -79.2567078002699""}]","[{""name"": ""8th Ave n."", ""ID"": 2061}, {""name"": ""Myrtle Beach 67th"", ""ID"": 3856}, {""name"": ""Myrtle Beach 64th Ave."", ""ID"": 3893}, {""name"": ""Myrtle Beach  (42st - 46 st)"", ""ID"": 4241}, {""name"": ""Surfside Pier"", ""ID"": 4345}, {""name"": ""Ocean Lakes "", ""ID"": 5058}, {""name"": ""2nd Avenue Pier"", ""ID"": 5764}, {""name"": ""Myrtle Beach 38th to 41st"", ""ID"": 5906}, {""name"": ""Springmaid Pier"", ""ID"": 6467}, {""name"": ""apache pier"", ""ID"": 6593}, {""name"": ""48th st. Myrtle Beach"", ""ID"": 6643}, {""name"": ""Pelican poles"", ""ID"": 7180}, {""name"": ""13th ave south surfside"", ""ID"": 7544}, {""name"": ""North Litchfield"", ""ID"": 7762}, {""name"": ""Garden City Pier"", ""ID"": 8056}, {""name"": ""The Dunes Club, Myrtle Beach"", ""ID"": 9191}]",https://t.me/+A4hSt323UPVhNzIx
Charleston Region,US,North Carolina,"[{""point1"": ""32.398979702322606, -80.39265710573952"", ""point2"": ""32.97456887879569, -79.53302012656813""}]","[{""name"": ""Cliffs"", ""ID"": 2643}, {""name"": ""35th Street, IOP"", ""ID"": 3421}, {""name"": ""The Washout"", ""ID"": 3718}, {""name"": ""Edisto Beach"", ""ID"": 5767}, {""name"": ""Folly Beach Pier"", ""ID"": 6274}, {""name"": ""Berts Bar"", ""ID"": 7351}, {""name"": ""Isle of Palms Pier"", ""ID"": 8670}]",https://t.me/+nw6vAPwVeu1mNjlh
Georgia,US,Georgia,"[{""point1"": ""30.89468323825093, -81.61027185387309"", ""point2"": ""32.12166227887312, -80.66000222194562""}]","[{""name"": ""Tybee - South End Sand Bar"", ""ID"": 2213}, {""name"": ""Sea Island"", ""ID"": 4805}, {""name"": ""St. Simons Island, GA "", ""ID"": 6472}, {""name"": ""Tybee pier"", ""ID"": 8079}]",https://t.me/+oTXnxsb_-h41MTY5
Jacksonville Beaches,US,Florida,"[{""point1"": ""30.531747492297548, -81.51757161127387"", ""point2"": ""30.064815419093364, -81.25006798020523""}]","[{""name"": ""Crossroads"", ""ID"": 1471}, {""name"": ""7th Avenue"", ""ID"": 2097}, {""name"": ""The Mayport Poles"", ""ID"": 2835}, {""name"": ""Middle Access"", ""ID"": 3328}, {""name"": ""Little Talbot"", ""ID"": 5300}, {""name"": ""The Barge"", ""ID"": 7632}, {""name"": ""The Shoals"", ""ID"": 8783}, {""name"": ""Jax Beach Pier"", ""ID"": 9231}]",https://t.me/+JWqe4mj6lFY4YzVh
Saint Augustine Beaches,US,Florida,"[{""point1"": ""30.064815419093364, -81.4436922838205"", ""point2"": ""29.674570685748087, -81.17749477498305""}]","[{""name"": ""FA's"", ""ID"": 178}, {""name"": ""Peanuts"", ""ID"": 534}, {""name"": ""Matanzas Inlet"", ""ID"": 1862}, {""name"": ""Backyard OG (ocean gallery)"", ""ID"": 2316}, {""name"": ""D-Country"", ""ID"": 2495}, {""name"": ""St. Augustine beach pier"", ""ID"": 3358}, {""name"": ""St Augustine Pier"", ""ID"": 4631}, {""name"": ""St Augustine A-Street"", ""ID"": 5063}, {""name"": ""Lighthouse"", ""ID"": 5888}, {""name"": ""Dondanville Road"", ""ID"": 6353}, {""name"": ""Crescent Beach"", ""ID"": 6549}, {""name"": ""Vilano Beach"", ""ID"": 8260}, {""name"": ""Blowhole"", ""ID"": 8345}, {""name"": ""Beacon point"", ""ID"": 9027}, {""name"": ""South Ponte Vedra Beach"", ""ID"": 9132}]",https://t.me/+juTkvWADv4NhZDkx
Daytona Beaches,US,Florida,"[{""point1"": ""29.592804353897886, -81.2808243767478"", ""point2"": ""28.566190583068575, -80.4790131227872""}]","[{""name"": ""Granada"", ""ID"": 1200}, {""name"": ""Flagler"", ""ID"": 2462}, {""name"": ""Painter's Hill"", ""ID"": 2575}, {""name"": ""Mainstreet pier"", ""ID"": 2669}, {""name"": ""Playa Linda"", ""ID"": 2924}, {""name"": ""Carpet Muncher"", ""ID"": 4183}, {""name"": ""Daytona Beach"", ""ID"": 4608}, {""name"": ""Bethune"", ""ID"": 5434}, {""name"": ""Bicentenial Park"", ""ID"": 5535}, {""name"": ""New Smyrna Inlet"", ""ID"": 7152}, {""name"": ""Ponce Inlet"", ""ID"": 7846}, {""name"": ""Beach Club"", ""ID"": 8936}, {""name"": ""Playalinda Beach"", ""ID"": 9239}]",https://t.me/+T4ujycUBNopmZGFh
Space Coast,US,Florida,"[{""point1"": ""28.489936361901, -80.8195427858522"", ""point2"": ""27.751121516469166, -80.2592682051782""}]","[{""name"": ""Buccaneer"", ""ID"": 674}, {""name"": ""Duval Street"", ""ID"": 1173}, {""name"": ""R.C.'s"", ""ID"": 2584}, {""name"": ""Monster hole"", ""ID"": 2725}, {""name"": ""Spessard holland"", ""ID"": 2876}, {""name"": ""2nd Light"", ""ID"": 4005}, {""name"": ""Patricks Air Force Base"", ""ID"": 4636}, {""name"": ""Cocoa Beach Pier"", ""ID"": 5215}, {""name"": ""Perkins"", ""ID"": 5291}, {""name"": ""Boardwalk"", ""ID"": 5886}, {""name"": ""13th Street"", ""ID"": 6469}, {""name"": ""Lori Wilson Park"", ""ID"": 6607}, {""name"": ""Satellite Beach"", ""ID"": 6729}, {""name"": ""Spanish house"", ""ID"": 6791}, {""name"": ""Peg Leg's"", ""ID"": 8338}, {""name"": ""Long Point"", ""ID"": 8431}, {""name"": ""Canova Beach"", ""ID"": 8639}, {""name"": ""Hangers"", ""ID"": 8701}, {""name"": ""Ocean Avenue"", ""ID"": 8712}, {""name"": ""Hess"", ""ID"": 8802}, {""name"": ""Tables"", ""ID"": 8851}, {""name"": ""Sebastian Inlet"", ""ID"": 8958}]",https://t.me/+fhgGcFWVMEFhZjIx
Fernandina Beaches,US,Florida,"[{""point1"": ""30.81404392276522, -81.55266864299831"", ""point2"": ""30.57432180969945, -81.3631640054174""}]","[{""name"": ""Cumberland Island"", ""ID"": 3539}, {""name"": ""Corners"", ""ID"": 3805}, {""name"": ""St. Marys rivermouth"", ""ID"": 4041}, {""name"": ""Fernandina Pier"", ""ID"": 5100}, {""name"": ""Hooks"", ""ID"": 6753}]",https://t.me/+FxHbZK-VECc3ZGI5
Lower Long Island,US,New York,"[{""point1"": ""40.69771530668085, -73.0439258291523"", ""point2"": ""40.530919114334395, -73.89806992027786""}]","[{""name"": ""Jones Beach"", ""ID"": 262}, {""name"": ""Tobay beach"", ""ID"": 315}, {""name"": ""Coastguards"", ""ID"": 375}, {""name"": ""Fire Island Point of Woods"", ""ID"": 1273}, {""name"": ""Point o' Woods"", ""ID"": 1969}, {""name"": ""92nd Street"", ""ID"": 2530}, {""name"": ""Democrat Point (Robert Moses)"", ""ID"": 2583}, {""name"": ""Robert Moses (democrat point)"", ""ID"": 3549}, {""name"": ""Lincoln"", ""ID"": 5153}, {""name"": ""Robert Moses"", ""ID"": 5838}, {""name"": ""Gilgo"", ""ID"": 6605}, {""name"": ""Lido"", ""ID"": 7837}, {""name"": ""Grand Blvd"", ""ID"": 8416}, {""name"": ""Connecticut Street Jetty"", ""ID"": 8897}, {""name"": ""Lido West"", ""ID"": 8911}]",https://t.me/+2NFir8C3YU4yYTZh
Nantucket,US,Massachusetts,"[{""point1"": ""41.14101921391212, -70.40457585980568"", ""point2"": ""41.41142362913153, -69.93218748786485""}]","[{""name"": ""Cisco Beach (Nantucket Island)"", ""ID"": 834}, {""name"": ""Madaquecham (Nantucket Island)"", ""ID"": 5193}, {""name"": ""Madaket"", ""ID"": 7131}]",https://t.me/+uUnOt6A9MoRhYWQx
Rhode Island,US,Rhode Island,"[{""point1"": ""41.20138959680921, -71.95686601317395"", ""point2"": ""41.570251664197485, -70.98187838504025""}]","[{""name"": ""Ruggles"", ""ID"": 83}, {""name"": ""Fenway"", ""ID"": 763}, {""name"": ""Monahans Dock"", ""ID"": 2427}, {""name"": ""Tuckerman's"", ""ID"": 2838}, {""name"": ""Point Judith Lighthouse"", ""ID"": 3555}, {""name"": ""Panic Point"", ""ID"": 4040}, {""name"": ""Narragansett Town Beach"", ""ID"": 4116}, {""name"": ""1st beach"", ""ID"": 4523}, {""name"": ""Bailey's Beach"", ""ID"": 4762}, {""name"": ""Elbow Ledge"", ""ID"": 5201}, {""name"": ""Horseneck Beach"", ""ID"": 5724}, {""name"": ""Bonnet Shores Point"", ""ID"": 5872}, {""name"": ""east beach lighthouse"", ""ID"": 6298}, {""name"": ""Sakonnet River Break"", ""ID"": 6415}, {""name"": ""Dickeys"", ""ID"": 6644}, {""name"": ""Coast Guard House"", ""ID"": 6856}, {""name"": ""Matunuck"", ""ID"": 7334}, {""name"": ""Napatree Jetty"", ""ID"": 7827}, {""name"": ""Naragansett"", ""ID"": 7984}, {""name"": ""Point Judith"", ""ID"": 8290}, {""name"": ""North Bar"", ""ID"": 8333}, {""name"": ""Cutty wow Reef"", ""ID"": 8363}, {""name"": ""2nd Beach"", ""ID"": 8863}, {""name"": ""Misquamicut State Beach"", ""ID"": 8978}, {""name"": ""Baker's beach"", ""ID"": 9365}]",https://t.me/+d7NhAIwCSMgwODc5
Upper Long Island,US,New York,"[{""point1"": ""40.64146807388128, -72.98585539437249"", ""point2"": ""41.184028462521205, -71.49815349975218""}]","[{""name"": ""Ponquogue- the bowl"", ""ID"": 979}, {""name"": ""BP"", ""ID"": 985}, {""name"": ""Terrace"", ""ID"": 1184}, {""name"": ""Road K"", ""ID"": 3272}, {""name"": ""Georgica pond"", ""ID"": 3674}, {""name"": ""Cupsogue beach"", ""ID"": 3680}, {""name"": ""Montauk point - Turtles"", ""ID"": 4106}, {""name"": ""Ditch Plains"", ""ID"": 5287}, {""name"": ""Smith point"", ""ID"": 6531}, {""name"": ""Block Island"", ""ID"": 6703}, {""name"": ""Trailor Park"", ""ID"": 8171}, {""name"": ""Outside Ponquogue"", ""ID"": 8198}, {""name"": ""Jetty 4"", ""ID"": 8592}]",https://t.me/+DHnpxwidsJI0ZjIx
Cape Cod,US,Massachusetts,"[{""point1"": ""41.55052253461627, -69.81950512829862"", ""point2"": ""42.12145103556696, -70.24520395184996""}]","[{""name"": ""Coast Guard beach"", ""ID"": 2965}, {""name"": ""Marconi Beach"", ""ID"": 4421}, {""name"": ""Nauset Light Beach"", ""ID"": 4725}, {""name"": ""Whitecrest Beach"", ""ID"": 5049}, {""name"": ""Ballston Beach"", ""ID"": 7756}]",https://t.me/+Mvxd-KXQGQgyNDcx
Boston Region,US,Massachusetts,"[{""point1"": ""42.01542773937135, -70.46601822673097"", ""point2"": ""42.69333769921498, -70.96037815085509""}]","[{""name"": ""allerton point"", ""ID"": 2237}, {""name"": ""Egypt beach"", ""ID"": 2862}, {""name"": ""Nantasket Beach"", ""ID"": 3133}, {""name"": ""Peggoty"", ""ID"": 3167}, {""name"": ""Brace Cove"", ""ID"": 3303}, {""name"": ""Good Harbor Beach"", ""ID"": 3658}, {""name"": ""Rexhame"", ""ID"": 4511}, {""name"": ""Deveraux Beach"", ""ID"": 4793}, {""name"": ""Long Beach"", ""ID"": 5835}]",https://t.me/+QRjwpK7xsvM2MjVh
New Hampshire,US,New Hampshire,"[{""point1"": ""42.750239252560256, -70.6725864027376"", ""point2"": ""43.060058677854514, -70.908780588708""}]","[{""name"": ""Plaice Cove"", ""ID"": 1548}, {""name"": ""Seabrook Beach"", ""ID"": 1931}, {""name"": ""Fox Hill"", ""ID"": 2569}, {""name"": ""Plum Island"", ""ID"": 7141}, {""name"": ""Jenness Beach, NH"", ""ID"": 7755}, {""name"": ""The Wall"", ""ID"": 8386}]",https://t.me/+bBxR-Ng5KCc5ZDA5
Maine,US,Maine,"[{""point1"": ""43.157910300946064, -70.69430214417991"", ""point2"": ""43.88284919148849, -69.50783832628203""}]","[{""name"": ""Ogunquit Rivermouth"", ""ID"": 533}, {""name"": ""Kennebunk beach"", ""ID"": 953}, {""name"": ""Wells Beach"", ""ID"": 3926}, {""name"": ""TWO LIGHTS"", ""ID"": 4773}, {""name"": ""Trayhan's"", ""ID"": 6900}, {""name"": ""Ogunquit Beach"", ""ID"": 6942}, {""name"": ""Higgins Beach"", ""ID"": 8181}, {""name"": ""Popham - Read"", ""ID"": 9373}]",https://t.me/+BL1GOrZmSkxjYjEx
South Florida,US,Florida,"[{""point1"": ""26.489257210060465, -80.18292542956097"", ""point2"": ""25.690048032075477, -79.97968857186551""}]","[{""name"": ""Delray public beach"", ""ID"": 657}, {""name"": ""Dania  Beach"", ""ID"": 1738}, {""name"": ""Spoils"", ""ID"": 2440}, {""name"": ""Spanish River"", ""ID"": 3154}, {""name"": ""Boca Inlet"", ""ID"": 3562}, {""name"": ""Jap Rock"", ""ID"": 3618}, {""name"": ""Fort Lauderdale - 14th Street"", ""ID"": 3634}, {""name"": ""Haulover Inlet North Side"", ""ID"": 4396}, {""name"": ""Deerfield Beach Pier"", ""ID"": 4720}, {""name"": ""Commercial Pier"", ""ID"": 5064}, {""name"": ""Dunes Motel"", ""ID"": 5210}, {""name"": ""south point boardwalk"", ""ID"": 6214}, {""name"": ""South Beach"", ""ID"": 6412}, {""name"": ""Harbor House"", ""ID"": 7302}]",https://t.me/+vNfFDS3EHcJiMDFh
West Palm Beach Region,US,Florida,"[{""point1"": ""27.529219582707853, -80.40371991505613"", ""point2"": ""26.522438593851135, -79.98637910695756""}]","[{""name"": ""Stumps"", ""ID"": 541}, {""name"": ""Walton Rocks"", ""ID"": 1121}, {""name"": ""Lake Worth Pier"", ""ID"": 1512}, {""name"": ""Reef Road"", ""ID"": 2398}, {""name"": ""Stuart Rocks"", ""ID"": 2726}, {""name"": ""Pump House"", ""ID"": 6079}, {""name"": ""Boynton - tortuga beach"", ""ID"": 6477}, {""name"": ""Juno Pier"", ""ID"": 6913}, {""name"": ""Jupiter Inlet North South Side"", ""ID"": 7078}, {""name"": ""Fort Pierce North Jetty"", ""ID"": 8946}]",https://t.me/+odOSc3Gz5NYwMzMx
Bay Side Florida,US,Florida,"[{""point1"": ""28.399131852607947, -83.33228309349495"", ""point2"": ""25.492867628161438, -81.22301408389872""}]","[{""name"": ""Holmes beach pier"", ""ID"": 394}, {""name"": ""Venice North Jetty"", ""ID"": 1702}, {""name"": ""Indian Rocks Beach"", ""ID"": 2059}, {""name"": ""Sand Key Park"", ""ID"": 3408}, {""name"": ""Anna Maria Island - Beach Streets"", ""ID"": 4113}, {""name"": ""point o' rocks"", ""ID"": 4133}, {""name"": ""Clearwater Pass"", ""ID"": 4497}, {""name"": ""Lido Beach"", ""ID"": 4595}, {""name"": ""Anclote Island"", ""ID"": 4684}, {""name"": ""Clearwater"", ""ID"": 5227}, {""name"": ""Wiggins Pass"", ""ID"": 5374}, {""name"": ""Bradenton- twin piers"", ""ID"": 5459}, {""name"": ""Naples Pier"", ""ID"": 6005}, {""name"": ""Redington Breakwater"", ""ID"": 6165}, {""name"": ""Honeymoon island"", ""ID"": 6170}, {""name"": ""Bellair Beach"", ""ID"": 6824}, {""name"": ""Anna Maria Island"", ""ID"": 6882}, {""name"": ""Sunset Beach"", ""ID"": 7188}, {""name"": ""Upham Beach"", ""ID"": 8355}, {""name"": ""Clearwater beach - The Waffle House"", ""ID"": 9312}]",https://t.me/+u5R5WAACLT9iZjlh
Pan Handle,US,Florida,"[{""point1"": ""28.34693271491737, -91.05634910019573"", ""point2"": ""30.94369363444362, -84.33305413210768""}]","[{""name"": ""Calle Hermosa"", ""ID"": 608}, {""name"": ""The Cross (Pensacola Beach)"", ""ID"": 660}, {""name"": ""St. Andrews State Park"", ""ID"": 1144}, {""name"": ""17th Ave"", ""ID"": 1528}, {""name"": ""The Pass(Amazons)"", ""ID"": 1686}, {""name"": ""Fort Walton Pier"", ""ID"": 2048}, {""name"": ""Fourchon"", ""ID"": 2198}, {""name"": ""St. George Island"", ""ID"": 2494}, {""name"": ""Port st.joe cape"", ""ID"": 2843}, {""name"": ""Okaloosa Pier"", ""ID"": 3057}, {""name"": ""Dauphin Island Pier"", ""ID"": 4184}, {""name"": ""Destin"", ""ID"": 4269}, {""name"": ""Grand Isle"", ""ID"": 4843}, {""name"": ""Spuds"", ""ID"": 4935}, {""name"": ""Terry's Cove"", ""ID"": 5470}, {""name"": ""Sand Island"", ""ID"": 5817}, {""name"": ""Chandeleur Islands"", ""ID"": 6017}, {""name"": ""Pensacola beach"", ""ID"": 6307}, {""name"": ""West Pass"", ""ID"": 7146}, {""name"": ""Navarre Beach Pier"", ""ID"": 8268}, {""name"": ""The Back Porch"", ""ID"": 8337}, {""name"": ""Pensacola Beach Pier"", ""ID"": 8696}, {""name"": ""Alabama Point"", ""ID"": 9229}]",https://t.me/+IMkwnc7TvaAyYTQx
Texas Gulf,US,Texas,"[{""point1"": ""24.926295298475015, -98.30732081288076"", ""point2"": ""30.372875694323955, -92.85837587142379""}]","[{""name"": ""Holly Beach"", ""ID"": 124}, {""name"": ""Refish Island"", ""ID"": 989}, {""name"": ""Galveston"", ""ID"": 1256}, {""name"": ""Surfside"", ""ID"": 1884}, {""name"": ""Corpus Christi"", ""ID"": 2222}, {""name"": ""Matagorda"", ""ID"": 2501}, {""name"": ""Packery Channel"", ""ID"": 2585}, {""name"": ""Jamaica Beach"", ""ID"": 4293}, {""name"": ""Surfside beach - Octagone"", ""ID"": 6261}, {""name"": ""Fish Pass Jetties"", ""ID"": 6294}, {""name"": ""Bob Hall Pier"", ""ID"": 6708}, {""name"": ""Horace Caldwell Pier"", ""ID"": 6955}, {""name"": ""Port Aransas"", ""ID"": 7149}, {""name"": ""St. Joe's Island"", ""ID"": 7261}, {""name"": ""South Padre Island"", ""ID"": 7272}, {""name"": ""Galveston - Flagship"", ""ID"": 7345}, {""name"": ""Galveston - Stewart Beach"", ""ID"": 7874}, {""name"": ""Bolivar"", ""ID"": 8262}, {""name"": ""Quintanas"", ""ID"": 8855}, {""name"": ""playa bagdad"", ""ID"": 9197}, {""name"": ""Mansfield Jetty"", ""ID"": 9411}]",https://t.me/+CX13YGoCqxQ3NDMx
Southern San Diego,US,CA,"[{""point1"": ""32.54588706367171, -117.08878025496408"", ""point2"": ""32.79183471108986, -117.31341935627523""}]","[{""name"": ""Imperial Beach"", ""ID"": 63}, {""name"": ""Coronado"", ""ID"": 166}, {""name"": ""Point Loma (Ralph's)"", ""ID"": 528}, {""name"": ""Pianos"", ""ID"": 913}, {""name"": ""Garbage"", ""ID"": 1134}, {""name"": ""Little Waimea"", ""ID"": 1316}, {""name"": ""Avalanche"", ""ID"": 1913}, {""name"": ""Sunset Cliffs - Osprey"", ""ID"": 1918}, {""name"": ""Santa Clara Court"", ""ID"": 2174}, {""name"": ""Coronado Silver Strand State Beach"", ""ID"": 2178}, {""name"": ""El Carmel Point"", ""ID"": 2348}, {""name"": ""South Mission beach"", ""ID"": 2870}, {""name"": ""Sloughs"", ""ID"": 3148}, {""name"": ""Donuts"", ""ID"": 4545}, {""name"": ""O.B. Jetty"", ""ID"": 6091}, {""name"": ""Bird Shit"", ""ID"": 6509}, {""name"": ""OB pier"", ""ID"": 7162}, {""name"": ""Pescedero (Pesky)"", ""ID"": 7316}, {""name"": ""No Surf"", ""ID"": 7705}, {""name"": ""Mission Beach"", ""ID"": 7746}, {""name"": ""Ab"", ""ID"": 8146}, {""name"": ""O.B."", ""ID"": 8351}]",
